target,uniprot_id
KRAS,P01116
FLT3,P36888
HDAC7,Q8WUI4
NDUFC1,O43677
ATP1A1,P05023
BCL2,P10415
NRAS,P01111
MEN1,O00255
PTPN11,Q06124
KMT2A,Q03164
DDX3X,O00571
PAICS,P22234
MDM4,O15151
SETDB1,Q15047
SOS1,Q07889
GAB2,Q9UQC2
PSIP1,O75475
HNRNPA2B1,P22626
RUNX2,Q13950
RHOA,P61586
GRB2,P62993
UBA5,Q9GZZ9
KAT2A,Q92830
DNM2,P50570
MYB,P10242
RUNX1,Q01196
CEBPA,P49715
LDB1,Q86U70
IRF8,Q02556
MEF2D,Q14814
MYH9,P35579
PPM1D,O15297
GATA1,P15976
STX4,Q12846
PTMA,P06454
KLF1,Q13351
PUM3,Q15397
TOE1,Q96GM8
LMO2,P25791
MED12,Q93074
GSE1,Q14687
REEP4,Q9H6H4
SPI1,P17947
MEF2B,Q02080
GNAI2,P04899
BCL6,P41182
CCND3,P30281
POU2AF1,Q16633
ZEB2,O60315
TTC7A,Q9ULT0
ITSN2,Q9NZM3
SDHD,O14521
PAX5,Q02548
ITGAV,P06756
EGFR,P00533
TUBB4B,P68371
ERBB2,P04626
PIK3CA,P42336
MDM2,Q00987
CTNNB1,P35222
XPR1,Q9UBH6
SEPSECS,Q9HD40
HSPD1,P10809
TP63,Q9H3D4
ITGB5,P18084
ELMO2,Q96JJ3
HNF1B,P35680
FGFR3,P22607
FGFR1,P11362
TYMS,P04818
CCND1,P24385
STAG1,Q969W9
FERMT2,Q96AC1
JAG1,P78504
RAC1,P63000
SCAP,Q12770
MED1,O95243
KLF5,Q13887
CDH2,P19022
JUN,P05412
NXT1,Q9UKK6
CIAO1,O76071
PTPN23,Q9H3S7
FGFR2,P21802
ERBB3,P21860
ESR1,P03372
CDK4,P11802
HDAC1,Q13547
GMPS,P49915
PPP2CA,P67775
NFE2L2,Q16236
AKT1,P31749
PDHB,P11177
STAMBP,O95630
SDHB,P21912
MED23,Q9ULK4
RCOR1,Q9UKL0
KMT2D,O14686
MAP1LC3B,Q9GZQ8
TFAP2C,Q92754
FAM50A,Q14320
ADAR,P55265
VPS4A,Q9UN37
TFAP2A,P05549
TRAF2,Q12933
TRPS1,Q9UHF7
ZBTB7B,O15156
GATA3,P23771
RPP25L,Q8N5L8
UBIAD1,Q9Y5Z9
ASB3,Q9Y575
TADA2B,Q86TJ2
TBX3,O15119
FOXA1,P55317
SPDEF,O95238
GRHL2,Q6ISB3
UBE3A,Q05086
BRAF,P15056
MAPK1,P28482
PIK3CB,P42338
WRN,Q14191
CREBBP,Q92793
UXS1,Q8NBZ7
CHMP4B,Q9H444
PITRM1,Q5JRX3
CDIPT,O14735
RBM39,Q14498
ATP6V0E1,O15342
BRCA2,P51587
IDH3A,P50213
SATB2,Q9UPW6
CDX2,Q99626
TCF7L2,Q9NQB0
CCND2,P30279
TSC2,P49815
SHC1,P29353
IRS2,Q9Y4H2
MTX2,O75431
ARHGEF7,Q14155
DUSP4,Q13115
UQCC2,Q9BRT2
KIDINS220,Q9ULH0
INTS6,Q9UL03
LRR1,Q96L50
POU5F1,Q01860
UBE2G2,P60604
FLI1,Q01543
ATP1B3,P54709
TAFAZZIN,Q16635
AHCYL1,O43865
CAB39,Q9Y376
SLC2A1,P11166
CCNE1,P24864
MARCHF5,Q9NX47
PARD6B,Q9BYG5
DDX19A,Q9NUU7
TLN1,Q9Y490
EXT1,Q16394
ZNF236,Q9UL36
UBE2Z,Q9H832
RPRD1B,Q9NQG5
EXT2,Q93063
RPL22L1,Q6P5R6
HNF1A,P20823
MET,P08581
CDK6,Q00534
SOX2,P48431
ARF1,P84077
GAB1,Q13480
SOX3,P41225
CSNK2A1,P68400
IKBKG,Q9Y6K9
IGF1R,P08069
HNF4A,P41235
PIK3R1,P27986
AHR,P35869
KLB,Q86Z14
DHRSX,Q8N5I4
MRPL57,Q9BQC6
EP300,Q09472
ARF4,P18085
SKP2,Q13309
PDCD2,Q16342
SNAP23,O00161
ZNF574,Q6ZN55
EARS2,Q5JPH6
RAB18,Q9NP72
TNFSF10,P50591
UMPS,P11172
RAF1,P04049
KEAP1,Q14145
PTK2,Q05397
HRAS,P01112
ITGB1,P05556
ITPA,Q9BY32
MTMR6,Q9Y217
GPX4,P36969
DNAJC13,O75165
MED25,Q71SY5
MAP3K7,O43318
MED16,Q9Y2X0
SUZ12,Q15022
ENO1,P06733
RBBP7,Q16576
CRTC3,Q6UUV7
MITF,O75030
BCAR1,P56945
SOX9,P48436
PRRC2C,Q9Y520
IRF4,Q15306
USP18,Q9UMW8
SHOC2,Q9UQ13
EAF1,Q96JC9
SOCS3,O14543
ALK,Q9UM73
FDFT1,P37268
MRM2,Q9UI43
CFL1,P23528
MYCN,P04198
LMNB1,P20700
TFAP2B,Q92481
CYRIA,Q9H0Q0
PFDN5,Q99471
MUC20,Q8N307
SMARCA2,P51531
RBM5,P52756
STAT3,P40763
SLC16A3,O15427
UBE2F,Q969M7
NAMPT,P43490
GNA13,Q14344
USP1,O94782
CFLAR,O15519
YIPF5,Q969M3
CNOT3,O75175
EDC4,Q6P2E9
PPA2,Q9H2U2
EZH2,Q15910
RXRA,P19793
STXBP3,O00186
EED,O75530
SQLE,Q14534
RAB6A,P20340
CDH1,P12830
FANCL,Q9NW38
WT1,P19544
ITGAX,P20702
IRF2BP2,Q7Z5L9
ZFP36L1,Q07352
PAK2,Q13177
FANCI,Q9NVI1
ARID1B,Q8NFD5
MECOM,Q03112
FANCD2,Q9BXW9
PIAS1,O75925
TADA1,Q96BN2
CDS2,O95674
KDELR1,P24390
FANCA,O15360
NFIB,O00712
FOSL1,P15407
FANCM,Q8IYD8
UBE2D2,P62837
FANCF,Q9NPI8
AP1S2,P56377
MYRF,Q9Y2G1
PAX8,Q06710
SOX17,Q9H6I2
PPARG,P37231
FZD5,Q13467
ITGA3,P26006
YAP1,P46937
E2F1,Q01094
ZEB1,P37275
LEMD2,Q8NC56
IL6ST,P40189
MCL1,Q07820
CBFB,Q13951
PDAP1,Q13442
MAF,O75444
HDAC2,Q92769
FBXW7,B0L3A2
EIF1AD,Q8N9N8
CHD4,Q14839
CCNC,P24863
ADSL,P30566
NF2,P35240
FOXO1,Q12778
MYOD1,P15172
ZBTB18,Q99592
DLL1,O00548
UBE2Q1,Q7Z7E8
SOX8,P57073
QKI,Q96PU8
MYOG,P15173
PAX3,P23760
POU2F3,Q9UKI9
POU2AF2,Q8IXP5
MYCL,P12524
ASCL1,P50553
FOXA2,Q9Y261
WWTR1,Q9GZV5
CD19,P15391
DHFR,P00374
SYK,P43405
PDGFRA,P16234
CD79B,P40259
NDUFA11,Q86Y39
PIK3CD,O00329
TXNRD1,Q16881
TP53,P04637
BCL2L1,Q07817
NFKB2,Q00653
TFRC,P02786
COPG1,Q9Y678
EBF1,Q9UH73
DOCK2,Q92608
NEDD4L,Q96PU5
MAGOH,P61326
USP7,Q93009
UBC,P0CG48
KMT2C,Q8NEZ4
CTPS1,P17812
ADPGK,Q9BRR6
NUMA1,Q14980
RHOB,P62745
IRS1,P35568
WNK1,Q9H4A3
NDE1,Q9NXR1
LRP8,Q14114
GFPT1,Q06210
TEAD1,P28347
ACTB,P60709
LDHA,P00338
RRAGC,Q9HB90
PARD3,Q8TEW0
MRPS14,O60783
RAB10,P61026
MARK2,Q7KZI7
PPP1R12A,O14974
SMAD7,O15105
PRDM1,O75626
ETV6,P41212
STAT5B,P51692
TCF3,Q9HCS4
SLC7A1,P30825
TRA2B,P62995
RBM28,Q9NW13
BAMBI,Q13145
MEF2C,Q06413
KAT6B,Q8WYB5
PREX1,Q8TCU6
TCF12,Q99081
SOX10,P56693
PRPS2,P11908
HMGA2,P52926
POP7,O75817
CRKL,P46109
DNAJC19,Q96DA6
RELB,Q01201
BATF3,Q9NR55
RIC1,Q4ADV7
TBX2,Q13207
FERMT1,Q9BQL6
NAV3,Q8IVL0
AGPAT1,Q99943
DOCK7,Q96N67
SOX7,Q9BT81
NEUROD1,Q13562
ZFPM1,Q8IX07
KDR,P35968
ITGAL,P20701
TOP1,P11387
DPP4,P27487
CSF1R,P07333
F2,P00734
ITGA2B,P08514
TOP2A,P11388
EPHA3,P29320
CXCR4,P61073
KIT,P10721
ROCK1,Q13464
EPHA2,P29317
TEK,Q02763
EPHB4,P54760
NTRK1,P04629
ERBB4,Q15303
CFTR,P13569
GRIA2,P42262
ADRB2,P07550
RET,P07949
CA12,O43570
EPHA7,Q15375
ACE,P12821
MME,P08473
BCHE,P06276
REN,P00797
MMP13,P45452
PDE4A,P27815
PIK3CG,P48736
PDE4D,Q08499
MAP2K1,Q02750
SRC,P12931
HCK,P08631
PRKCA,P17252
PDE9A,O76083
GSK3B,P49841
LCK,P06239
CA2,P00918
PDE2A,O00408
MAP2K2,P36507
PDE6D,O43924
PDE4B,Q07343
GRIK1,P39086
ADORA2A,P29274
AOC1,P19801
EPHA4,P54764
CHRNB2,P17787
TTR,P02766
MGAM,O43451
ACHE,P22303
TACR1,P25103
BTK,Q06187
JAK3,P52333
LYN,P07948
JAK2,O60674
GLA,P06280
ITK,Q08881
RARA,P10276
PRKCI,P41743
ACLY,P53396
IMPDH2,P12268
HBB,P68871
FKBP1A,P62942
XDH,P47989
AR,P10275
DHODH,Q02127
HMGCR,P04035
CYP3A4,P08684
PDE3B,Q13370
MAOB,P27338
HSD11B1,P28845
ODC1,P11926
ABL1,P00519
PARP1,P09874
MAPK11,Q15759
NR1H4,Q96RI1
TOP2B,Q02880
PGR,P06401
NR3C1,P04150
DNMT1,P26358
HDAC8,Q9BY41
AKR1B1,P15121
GSR,P00390
VDR,P11473
THRA,P10827
PDE5A,O76074
GART,P22102
FDPS,P14324
ADH5,P11766
RXRB,P28702
GUCY1B1,Q02153
PDE10A,Q9Y233
PDE7A,Q13946
ALDH2,P05091
TYMP,P19971
PPARD,Q03181
ESR2,Q92731
THRB,P10828
PPARA,Q07869
IDH1,O75874
HBA1; HBA2,P69905
PDK4,Q16654
ITGB2,P05107
CA9,Q16790
HRH1,P35367
COMT,P21964
MMP1,P03956
PLG,P00747
HCN4,Q9Y3Q4
DRD3,P35462
PLAT,P00750
F10,P00742
FYN,P06241
PRKCQ,Q04759
IMPDH1,P20839
NR3C2,P08235
FNTA,P49354
TYK2,P29597
PARP2,Q9UGN5
RARG,P13631
PDK1,Q15118
HDAC4,P56524
EPAS1,Q99814
TPH1,P17752
PDE8A,O60658
BHMT,Q93088
CA1,P00915
ITGB3,P05106
CALCRL,Q16602
KLKB1,P03952
TUBB,P07437
TUBB2A,Q13885
TUBB2B,Q9BVA1
TUBB3,Q13509
FLT1,P17948
CNR1,P21554
C5AR1,P21730
CCR5,P51681
TUBA1B,P68363
TUBA1A,Q71U36
AXL,P30530
EDNRB,P24530
RPS27,P42677
NTRK2,Q16620
SCN5A,Q14524
CHRNA3,P32297
GABRA1,P14867
GRIK2,Q13002
GLRB,P48167
GRIN2A,Q12879
GABBR2,O75899
GABRB2,P47870
GABRB3,P28472
GABBR1,Q9UBS5
CACNA1C,Q13936
GRIN1,Q05586
GRIN2B,Q13224
NPC1L1,Q9UHC9
ADA,P00813
CACNB1,Q02641
KCNQ1,P51787
GABRA5,P31644
OPRK1,P41145
SCN1A,P35498
HTR1B,P28222
CHRNA1,P02708
ADORA1,P30542
KCNK9,Q9NPC2
EPHB3,P54753
DDR2,Q16832
EPHB1,P54762
CASR,P41180
DRD4,P21917
KCNQ2,O43526
OPRD1,P41143
KCNN4,O15554
HTR2B,P41595
S1PR1,P21453
AGTR1,P30556
ABCC8,Q09428
TRPV4,Q9HBA0
GABRG2,P18507
HTR1A,P08908
HTR1D,P28221
ADRA2A,P08913
ADRA2B,P18089
CACNA1G,O43497
AVPR2,P30518
SLC6A4,P31645
HCRTR1,O43613
HCRTR2,O43614
PTGER3,P43115
KCNK2,O95069
HTR2A,P28223
TRPA1,O75762
HTR2C,P28335
DRD2,P14416
CA4,P22748
HTR1E,P28566
P2RY12,Q9H244
KCNK3,O14649
HTR1F,P30939
CHRM2,P08172
MMP8,P22894
MMP7,P09237
PRKCE,Q02156
ALOX5,P09917
SCN2A,Q99250
SCN9A,Q15858
SCN3A,Q9NY46
SIGMAR1,Q99720
SCN4A,P35499
ROS1,P08922
PDE6C,P51160
KIF5B,P33176
MTOR,P42345
DRD1,P21728
FGFR4,P22455
F2R,P25116
SLC29A1,Q99808
PTGER4,P35408
KCNA3,P22001
S1PR3,Q99500
F12,P00748
CHRM1,P11229
CCKAR,P32238
ADRA2C,P18825
GNRHR,P30968
CHRNB4,P30926
GHSR,Q92847
ADRB1,P08588
CHRNA4,P43681
GABRA4,P48169
KCNQ4,P56696
PTGER2,P43116
MTNR1B,P49286
SLC5A2,P31639
MTNR1A,P48039
CYSLTR1,Q9Y271
CHRM4,P08173
S1PR5,Q9H228
CHRM5,P08912
S1PR2,O95136
CA14,Q9ULX7
NTRK3,Q16288
CACNA1B,Q00975
KCNJ11,Q14654
GAA,P10253
SMO,Q99835
CACNG2,Q9Y698
PRKCH,P24723
HDAC3,O15379
PTK6,Q13882
CALM1,P0DP23
CDA,P32320
PDE6G,P18545
SCN7A,Q01118
PTGS2,P35354
ROCK2,O75116
GABRD,O14764
JAK1,P23458
CYP3A5,P20815
CYP11B1,P15538
PDE3A,Q14432
BCR,P11274
MAOA,P21397
SOAT1,P35610
CACNA2D1,P54289
CYP19A1,P11511
SRD5A2,P31213
HDAC6,Q9UBN7
PDK2,Q15119
PARP3,Q9Y6F1
RARB,P10826
CSNK1E,P49674
HDAC5,Q9UQL6
DNMT3A,Q9Y6K1
PSMB5,P28074
XPO1,O14980
POLA1,P09884
GUCY1A1,Q02108
FNTB,P49356
PDE1B,Q01064
CACNB3,P54284
TPH2,Q8IWU9
CA7,P43166
CA13,Q8N1Q1
CYP17A1,P05093
RPS3,P23396
RPSA,P08865
RPS27A,P62979
RPL36A,P83881
RPS20,P60866
RPL18,Q07020
RPS5,P46782
RPL6,Q02878
RPLP0,P05388
RPL3,P39023
RPL18A,Q02543
RPL28,P46779
RPL19,P84098
RPL34,P49207
RPS13,P62277
RPL24,P83731
RPS15,P62841
RPL5,P46777
RPS10,P46783
RPL35,P42766
RPS6,P62753
RPS24,P62847
RPS2,P15880
RPL11,P62913
RPS8,P62241
RPL32,P62910
RPS3A,P61247
RPL10,P27635
RPL7A,P62424
RPL30,P62888
RPL8,P62917
RPL26,P61254
RPS14,P62263
RPL13,P26373
RPS9,P46781
RPS21,P63220
RPS7,P62081
RPL38,P63173
RPL4,P36578
RPL15,P61313
RPS17,P08708
RPS23,P62266
RPL14,P50914
RPL12,P30050
RPS4X,P62701
RPL23A,P62750
RPL10A,P62906
RPS18,P62269
RPL31,P62899
RPS16,P62249
RPS19,P39019
RPS12,P25398
RPL22,P35268
RPS25,P62851
RPL21,P46778
RPL23,P62829
RPS4Y1,P22090
RPL36,Q9Y3U8
RPL27,P61353
RPS15A,P62244
RPS11,P62280
RPL13A,P40429
RPL37,P61927
RPL7,P18124
RPL29,P47914
RPL9; RPL9P7; RPL9P8; RPL9P9,P32969
RPL27A,P46776
RPL35A,P18077
RPS26,P62854
RPL37A,P61513
RPL39,P62891
RPS29,P62273
RPS28,P62857
RPL17,P18621
RPL41,P62945
CRBN,Q96SW2
PDK3,Q15120
MALT1,Q9UDY8
IDH2,P48735
CYP11A1,P05108
ADH1B,P00325
ADH1C,P00326
ADH7,P40394
CPS1,P31327
IMPA1,P29218
RRM1,P23921
ALDH5A1,P51649
PAH,P00439
ADH4,P08319
PTGDS,P41222
DDB1,Q16531
RBX1,P62877
POLD2,P49005
ADH1A,P07327
TH,P07101
KCNC1,P48547
DPEP1,P16444
ABCA1,O95477
PNLIP,P16233
KCNK10,P57789
POLE,Q07864
RYR3,Q15413
CYP3A7,P24462
NDUFA4,O00483
VKORC1,Q9BQB6
MT-ND4,P03905
POLD1,P28340
NDUFB7,P17568
NDUFA8,P51970
NDUFA2,O43678
NDUFB10,O96000
NDUFS6,O75380
NDUFB9,Q9Y6M9
NDUFS5,O43920
NDUFA6,P56556
NDUFS3,O75489
NDUFA7,O95182
NDUFA5,Q16718
NDUFV3,P56181
NDUFS4,O43181
NDUFB2,O95178
NDUFC2,O95298
NDUFS2,O75306
NDUFV1,P49821
NDUFA12,Q9UI09
NDUFS1,P28331
NDUFS8,O00217
NDUFS7,O75251
NDUFV2,P19404
NDUFB4,O95168
NDUFB5,O43674
NDUFB6,O95139
NDUFA13,Q9P0J0
NDUFB3,O43676
NDUFA1,O15239
NDUFB11,Q9NX14
NDUFB8,O95169
NDUFA3,O95167
NDUFB1,O75438
MT-ND6,P03923
MT-ND2,P03891
MT-ND5,P03915
MT-ND3,P03897
MT-ND1,P03886
MT-ND4L,P03901
POLD3,Q15054
POLD4,Q9HCU8
NDUFAB1,O14561
POLA2,Q14181
POLE2,P56282
PRIM2,P49643
PRIM1,P49642
NDUFA10,O95299
NDUFA9,Q16795
RXRG,P48443
CUL4A,Q13619
KCNH2,Q12809
EPHA5,P54756
ALOX12,P18054
PDE4C,Q08493
CA3,P07451
TUBB1,Q9H4B7
TUBB4A,P04350
TUBB6,Q9BUF5
TUBB8,Q3ZCM7
PDGFRB,P09619
TUBA4A,P68366
TUBA1C,Q9BQE3
TUBA3E,Q6PEY2
TUBA3C,P0DPH7
FLT4,P35916
CHRM3,P20309
GRIN2D,O15399
GABRB1,P18505
GRIN2C,Q14957
GLRA1,P23415
TRPV1,Q8NER1
FGR,P09769
MPL,P40238
ADRA1B,P35368
SLC9A3,P48764
EPHA1,P21709
OPRM1,P35372
KCNA5,P22460
KCNQ3,O43525
SCN8A,Q9UQD0
ADRA1A,P25100
ATP1A2,P50993
CACNA1A,O00555
SLC6A3,Q01959
ATP1A3,P13637
ATP1A4,Q13733
HTR3B,O95264
GRIA1,P42261
KCNQ5,Q9NR82
SLC22A6,Q4U2R8
KCNA4,P22459
