seq_dist,calpha_dist,n_obs
2.0,3.8414909839630127,56743
3.0,6.501842975616455,51535
4.0,9.384478569030762,46327
5.0,12.374270915985107,41974
6.0,15.295555114746094,38512
7.0,18.16688346862793,35870
8.0,20.90268898010254,33857
9.0,23.521581649780273,32243
10.0,26.020339965820312,30933
11.0,28.451332092285156,29815
12.0,30.742557525634766,28849
13.0,32.92158508300781,28008
14.0,35.02243232727051,27278
15.0,36.99307632446289,26629
16.0,38.81831359863281,26033
17.0,40.57093048095703,25470
18.0,42.25813674926758,24939
19.0,43.865234375,24435
20.0,45.41950607299805,23964
21.0,46.83788299560547,23523
22.0,48.21950912475586,23109
23.0,49.50551986694336,22727
24.0,50.789573669433594,22367
25.0,52.06702423095703,22019
26.0,53.26239585876465,21684
27.0,54.44462776184082,21358
28.0,55.473026275634766,21045
29.0,56.531219482421875,20741
30.0,57.58089828491211,20445
31.0,58.52323913574219,20155
32.0,59.415090560913086,19872
33.0,60.2270622253418,19598
34.0,61.16804122924805,19333
35.0,62.11354446411133,19077
36.0,62.8521728515625,18825
37.0,63.588253021240234,18579
38.0,64.30473327636719,18342
39.0,65.12671661376953,18108
40.0,65.89482498168945,17878
