Protein,Domain,Range,ECOD_num,ECOD_key,T-group,DPAM_prob,HH_prob,DALI_zscore,Hit_cov,Tgroup_cov,Judge,Hcount,Scount,subset,domain_length,bin,intracellular_percentage
P19801,nD1,31-140,1149190,e3hi7A6,243.5.1,0.998,1.0,10.4,0.909,0.909,good_domain,2,5,subset_415,110,1,0.0
P19801,nD2,141-285,1149189,e3hi7A5,243.5.1,0.998,1.0,20.2,0.837,1.198,good_domain,4,5,subset_415,145,1,0.0
P19801,nD3,301-750,1149188,e3hi7A4,12.3.1,1.0,1.0,46.3,0.996,1.601,good_domain,4,25,subset_415,450,2,0.0
P05771,nD1,31-95,167536,e2ennA1,376.1.2,0.997,0.878,9.2,0.829,1.048,good_domain,0,4,subset_415,65,0,100.0
P05771,nD2,96-155,2581364,e6ra0A2,376.1.2,0.996,0.937,9.1,1.0,0.968,simple_topology,0,2,subset_415,60,0,100.0
P05771,nD3,156-290,179750,e3pfqA2,11.2.1,0.998,1.0,26.1,0.971,0.957,good_domain,3,7,subset_415,135,1,100.0
P05771,nD4,326-665,1397996,e4ra5A1,206.1.1,0.999,1.0,46.6,0.97,1.13,good_domain,11,8,subset_415,340,2,100.0
P05019,nD1,51-113,88152,e1efeA1,367.1.1,0.986,0.995,3.7,0.85,0.94,good_domain,2,1,subset_415,63,0,0.0
Q9GZQ8,nD1,1-120,2628875,e7brnA1,221.1.1,0.997,1.0,18.4,0.872,1.277,good_domain,4,6,subset_98,120,1,100.0
P30968,nD1,21-328,2664758,e7br3A1,5001.1.1,1.0,1.0,29.9,0.882,1.079,good_domain,9,2,subset_98,308,2,31.493506493506494
O00763,nD1,246-380,1124183,e3u9tA1,2003.1.10,0.995,1.0,15.8,0.974,1.244,good_domain,5,4,subset_98,135,1,100.0
O00763,nD2,381-645,80656,e1t36A2,206.1.3,0.999,0.999,21.9,0.785,1.183,good_domain,7,8,subset_98,265,2,100.0
O00763,nD3,646-765,1488990,e4mv4A3,325.1.1,0.995,1.0,16.3,0.95,1.086,good_domain,3,5,subset_98,120,1,100.0
O00763,nD4,766-890,1699716,e5cslB1,3794.1.1,0.997,1.0,18.9,0.947,0.984,good_domain,1,8,subset_98,125,1,100.0
O00763,nD5,891-980,1701043,e5csaA6,325.1.7,0.999,1.0,15.0,1.0,1.125,good_domain,0,6,subset_98,90,1,100.0
O00763,nD6,981-1230,2401820,e6g2iA10,109.49.1,1.0,1.0,23.7,0.971,1.02,good_domain,11,0,subset_98,250,2,100.0
O00763,nD7,1236-1490,2401813,e6g2iA3,2008.6.1,0.999,1.0,7.7,0.813,1.154,good_domain,6,8,subset_98,255,2,100.0
O00763,nD8,1491-1700,2401812,e6g2iA2,2008.6.1,0.999,1.0,21.8,0.929,0.95,good_domain,3,8,subset_98,210,2,100.0
O00763,nD9,1701-2020,363351,e3ff6A2,2486.1.1,0.999,0.965,16.8,0.443,1.24,good_domain,9,15,subset_98,320,2,100.0
O00763,nD10,2021-2458,1694016,e5ctbB2,2486.1.1,0.999,0.956,15.1,0.542,1.698,good_domain,12,15,subset_98,438,2,100.0
Q99795,nD1,16-140,1162816,e4bfiA3,11.1.1,0.997,0.995,11.0,0.558,1.157,good_domain,1,10,subset_98,125,1,4.8
Q99795,nD2,141-230,2142323,e5w21C1,11.1.1,0.998,0.993,8.3,0.793,0.833,good_domain,1,6,subset_98,90,1,0.0
Q99795,nD3,236-260,2131603,e4wolB1,3470.1.1,0.876,0.72,0.0,0.667,0.806,simple_topology,1,0,subset_98,25,0,12.0
O15519,nD1,1-90,1127948,e2bbrA2,110.1.1,0.992,0.999,13.5,0.931,0.938,good_domain,6,0,subset_232,90,1,100.0
O15519,nD2,91-185,2793297,e7deeA1,110.1.1,0.993,0.999,15.3,0.957,0.99,good_domain,5,1,subset_232,95,1,100.0
O15519,nD3,241-480,134623,e3h11A1,7575.1.1,0.999,1.0,35.7,0.981,0.928,good_domain,7,9,subset_232,240,2,100.0
